#{"t_start": 1773366505.005306, "env_id": "Humanoid-v4"}
r,l,t
341.267302,63,125.22675
470.468143,86,126.547799
316.682123,58,127.420786
416.638017,76,128.60037
361.296338,67,129.609021
353.729128,64,130.465264
367.793517,70,131.428481
328.334518,61,132.282662
321.757971,59,133.09142
393.395101,74,134.115765
311.123871,57,134.903276
323.061741,59,135.807771
440.429334,82,136.973863
514.665604,98,138.351878
403.577166,74,139.340349
333.577939,60,140.147272
369.609183,67,141.041486
360.654337,65,141.934829
360.820711,66,142.850356
300.338284,59,143.665639
389.12044,86,144.843217
328.870354,61,145.71147
334.365254,63,146.593915
318.252436,61,147.438442
307.716684,69,148.481099
260.16161,58,149.371434
406.347126,78,150.645852
361.116431,72,151.801165
439.783966,84,153.241786
402.283614,75,154.497869
328.365844,62,155.562548
322.618638,61,156.584439
320.748203,62,157.586379
322.206782,66,158.540479
421.999592,78,159.684718
326.104235,67,160.612768
318.552249,61,161.480998
299.068878,57,162.251098
379.211388,77,163.291857
296.166224,57,164.210223
318.330359,60,165.041633
310.055134,58,165.806635
312.438602,57,166.565428
455.832911,87,167.768822
389.586486,76,168.829559
325.882869,61,169.720289
315.482684,65,170.64912
381.912046,69,171.588375
353.290908,65,172.481314
337.460081,65,173.374514
332.621331,66,174.289489
385.11539,72,175.29662
340.281752,67,176.20844
347.507585,63,177.046561
409.065464,77,178.09698
341.455278,68,179.041214
227.575643,44,179.644658
414.715849,80,180.730968
374.228058,80,181.837766
315.337456,65,182.720508
322.343249,68,183.689973
372.574955,80,184.783152
521.602655,95,186.12724
194.690893,37,186.68189
309.078804,67,187.603491
304.547351,66,188.496561
257.035403,52,189.299997
329.113128,62,190.161402
315.536333,60,190.983478
537.484295,106,192.434674
523.596836,105,193.851466
475.133925,100,195.314148
529.533596,111,196.951669
548.797229,114,198.461934
446.901278,81,199.53643
491.059561,95,200.809394
349.919607,66,201.72489
633.351221,119,203.366758
341.646892,71,204.338873
368.174853,78,205.4111
383.0054,74,206.427953
472.746905,87,207.634067
407.702989,81,208.712229
414.30162,89,209.899045
353.057482,67,210.809161
396.365389,76,211.836953
375.855356,71,212.784474
430.120376,81,213.886327
448.488974,81,214.976186
209.834753,47,215.62891
586.934613,112,217.129331
428.951639,89,218.338599
264.704472,51,219.026564
221.696445,49,219.685846
290.195923,64,220.554792
331.716525,64,221.427604
593.866961,109,222.93656
362.473597,80,224.1059
376.19956,72,225.322296
394.468138,78,226.391593
313.873207,60,227.64326
299.740565,60,228.518431
306.037065,60,229.43853
416.72736,83,230.725009
318.463741,64,231.767486
315.854604,62,232.680938
403.235621,85,234.052846
410.36945,86,235.628404
562.808442,108,237.589336
446.63991,91,239.312626
488.774041,99,241.091077
351.986362,76,242.291661
374.188353,79,243.573742
591.853407,113,245.473416
396.578902,72,246.666048
789.79992,161,249.136162
377.233253,81,250.414543
233.710201,49,251.120089
333.32792,71,252.110089
293.409376,55,252.940078
232.659722,44,253.556227
227.527948,43,254.151625
267.160966,53,254.963143
303.574925,58,255.808961
384.707381,77,256.929073
298.446258,61,257.847595
480.658911,88,259.097544
238.928673,52,259.882386
398.47317,74,261.037427
514.35236,108,262.680045
421.995713,89,264.038381
462.224609,102,265.65449
396.835724,83,266.99267
347.329419,66,267.936672
343.046481,73,269.07444
330.313432,69,270.111343
390.515001,79,271.407592
391.62261,75,272.592637
316.657637,61,273.476564
270.700966,56,274.321688
680.077854,134,276.281916
483.616808,90,277.64198
354.744552,71,278.728493
353.889334,65,279.743451
407.349117,85,281.071759
306.677179,66,282.013848
293.335443,61,282.908713
468.162467,100,284.405356
277.775217,53,285.191471
293.169793,61,286.087759
314.632918,59,286.962367
294.307746,55,287.754404
289.214649,56,288.527803
466.481648,87,289.730235
410.037135,85,290.979774
354.465669,74,292.054223
487.749444,102,293.555492
415.322057,89,294.873186
493.924121,97,296.384783
258.450172,56,297.277108
454.225897,87,298.581319
423.73962,79,299.844192
330.013061,65,300.805805
524.396291,98,302.364815
366.722661,78,303.495556
331.146519,72,304.525808
490.620917,108,306.396734
311.127285,68,307.61324
238.676288,51,308.512907
203.011398,43,309.310085
407.902842,87,310.798236
384.152646,71,312.024473
323.464041,68,313.170681
426.216038,79,314.494844
452.23278,98,316.062944
724.720022,151,318.526365
593.830601,122,320.502677
453.734411,93,321.870949
430.623829,82,323.033958
334.654324,63,323.890142
277.121241,61,324.770019
393.985397,84,326.078372
331.264069,63,327.114169
401.310919,77,328.261297
470.837545,90,329.640718
391.586188,89,330.897965
327.244115,61,331.730023
248.931531,48,332.375631
306.084024,57,333.155455
297.993923,56,334.111981
324.583331,62,335.131793
414.463974,80,336.219369
395.290353,75,337.24596
463.47793,87,338.431706
793.812428,150,340.535411
466.790487,92,341.785636
488.693869,93,343.051454
365.234661,72,344.028806
424.158082,92,345.268395
482.925263,91,346.533709
373.795454,69,347.478497
478.52426,88,348.67204
350.658658,75,349.836269
518.146334,100,351.450907
617.701566,120,353.290279
340.108406,65,354.257721
462.483445,86,355.473805
383.107304,72,356.487605
270.993623,53,357.211492
336.98682,64,358.077368
546.373031,108,359.544367
355.773365,68,360.467904
365.005496,67,361.384968
303.752316,56,362.168738
319.662304,62,363.012489
458.95641,94,364.275981
362.70573,69,365.225249
386.453511,70,366.201964
465.525672,84,367.413327
421.804525,79,368.624837
403.693501,77,369.785146
400.785659,73,370.880492
451.322015,82,372.212529
